semana,interface,ux,mobile
2015-04-05,84,59,85
2015-04-12,53,83,79
2015-04-19,69,68,100
2015-04-26,68,70,96
2015-05-03,94,74,94
2015-05-10,32,69,83
2015-05-17,41,65,71
2015-05-24,42,57,68
2015-05-31,65,72,78
2015-06-07,66,70,72
2015-06-14,58,58,74
2015-06-21,66,83,86
2015-06-28,60,70,66
2015-07-05,87,78,83
2015-07-12,41,68,70
2015-07-19,100,80,69
2015-07-26,49,59,78
2015-08-02,33,77,69
2015-08-09,49,61,71
2015-08-16,48,74,71
2015-08-23,39,65,76
2015-08-30,31,68,82
2015-09-06,79,71,74
2015-09-13,38,58,93
2015-09-20,68,60,83
2015-09-27,82,70,76
2015-10-04,83,68,79
2015-10-11,53,69,96
2015-10-18,37,76,81
2015-10-25,59,81,67
2015-11-01,44,72,84
2015-11-08,89,75,76
2015-11-15,43,73,84
2015-11-22,71,52,64
2015-11-29,42,59,98
2015-12-06,36,44,81
2015-12-13,66,67,79
2015-12-20,34,42,55
2015-12-27,36,38,64
2016-01-03,37,53,74
2016-01-10,42,56,69
2016-01-17,67,65,75
2016-01-24,30,86,73
2016-01-31,42,77,81
2016-02-07,66,72,92
2016-02-14,27,71,81
2016-02-21,36,78,74
2016-02-28,35,70,80
2016-03-06,83,81,75
2016-03-13,24,68,57
2016-03-20,68,76,70
2016-03-27,46,64,82
2016-04-03,30,68,77
2016-04-10,73,77,86
2016-04-17,30,82,76
2016-04-24,71,69,70
2016-05-01,72,82,66
2016-05-08,25,63,72
2016-05-15,37,74,69
2016-05-22,100,58,68
2016-05-29,39,56,67
2016-06-05,19,65,54
2016-06-12,25,59,64
2016-06-19,26,67,66
2016-06-26,45,69,65
2016-07-03,53,59,59
2016-07-10,78,69,69
2016-07-17,49,64,64
2016-07-24,58,55,55
2016-07-31,52,63,58
2016-08-07,51,65,61
2016-08-14,41,53,64
2016-08-21,53,66,70
2016-08-28,62,62,77
2016-09-04,75,60,70
2016-09-11,55,68,65
2016-09-18,24,60,76
2016-09-25,55,63,69
2016-10-02,30,58,70
2016-10-09,18,73,68
2016-10-16,61,77,71
2016-10-23,18,72,72
2016-10-30,24,70,73
2016-11-06,59,60,65
2016-11-13,80,66,71
2016-11-20,43,45,63
2016-11-27,67,81,88
2016-12-04,41,74,75
2016-12-11,34,62,65
2016-12-18,28,50,60
2016-12-25,19,41,54
2017-01-01,41,61,59
2017-01-08,17,76,66
2017-01-15,45,70,76
2017-01-22,33,81,66
2017-01-29,33,67,77
2017-02-05,49,70,68
